"Yes","capture details","sbL7819Yes","","BEAR PAW LAKE","BP","Gasterosteus aculeatus","1","BEAR PAW LAKE is currently used in this database.","","","","BEAR PAW LAKE","BP"
"Yes","capture details","sbL7820Yes","","BOOT LAKE","BT","Gasterosteus aculeatus","1","BOOT LAKE is currently used in this database.","","","","BOOT LAKE","BT"
"Yes","capture details","sbL7821Yes","","WHALE LAKE","WH","Gasterosteus aculeatus","1","WHALE LAKE is currently used in this database.","","","","WHALE LAKE","WH"
"Yes","capture details","sbL7964Yes","","RABBIT SLOUGH","RS","Gasterosteus aculeatus","1","RABBIT SLOUGH is currently used in this database.","","","","RABBIT SLOUGH","RS"
"Yes","capture details","sbL7968Yes","","SILTCOOS","SLT","Gasterosteus aculeatus","1","SILTCOOS is currently used in this database.","","","","SILTCOOS","SLT"
"Yes","capture details","sbL7969Yes","","AIROLO PUNGITIUS","ARPP","Pungitius pungitius","1","AIROLO PUNGITIUS is currently used in this database.","","","","AIROLO PUNGITIUS","ARPP"
"Yes","capture details","sbL7970Yes","","STEPHEN PUNGITIUS","STPPP","Pungitius pungitius","1","STEPHEN PUNGITIUS is currently used in this database.","","","","STEPHEN PUNGITIUS","STPPP"
"Yes","capture details","sbL7971Yes","","SUTTON CREEK","SUCR","Gasterosteus aculeatus","1","SUTTON CREEK is currently used in this database.","","","","SUTTON CREEK","SUCR"
"Yes","capture details","sbL9367Yes","","BOLO LAKE","BOL","Gasterosteus aculeatus","1","BOLO LAKE is currently used in this database.","","","","BOLO LAKE","BOL"
"Yes","capture details","sbL9418Yes","","FLORENCE LAKE","FLR","Gasterosteus aculeatus","1","FLORENCE LAKE is currently used in this database.","","","","FLORENCE LAKE","FLR"
"Yes","capture details","sbL9470Yes","","MILLRACE SOUTH","MRS","Gasterosteus aculeatus","1","MILLRACE SOUTH is currently used in this database.","","","","MILLRACE SOUTH","MRS"
"Yes","capture details","sbL9471Yes","","MILLRACE NORTH","MRN","Gasterosteus aculeatus","1","MILLRACE NORTH is currently used in this database.","","","","MILLRACE NORTH","MRN"
"Yes","capture details","sbL9472Yes","","SOUTH SLOUGH","SSL","Gasterosteus aculeatus","1","SOUTH SLOUGH is currently used in this database.","","","","SOUTH SLOUGH","SSL"
"Yes","capture details","sbL9490Yes","Chuck caught these fish with Rebecca","CUSHMAN CREEK","CUCR","Gasterosteus aculeatus","1","CUSHMAN CREEK is currently used in this database.","","","","CUSHMAN CREEK","CUCR"
"Yes","capture details","sbL9516Yes","Chuck caught these in traps set at Hill's creek road.  A few died in transit and were fixed","CUSHMAN@HILL'S RD","CUHR","Gasterosteus aculeatus","1","CUSHMAN@HILL'S RD is currently used in this database.","","","","CUSHMAN@HILL'S RD","CUHR"
"Yes","capture details","sbL9517Yes","Chuck caught these at mile 4 on Cushman Creek","CUSHMAN@MILE 4","CMCR4","Gasterosteus aculeatus","1","CUSHMAN@MILE 4 is currently used in this database.","","","","CUSHMAN@MILE 4","CUM4"
"Yes","capture details","sbL11543Yes","Shipped by Mike Bell on 14June03","MUD LAKE PUNGITIUS","MUPP","Pungitius pungitius","1","MUD LAKE PUNGITIUS is currently used in this database.","","","","MUD LAKE PUNGITIUS","MUPP"
"No","","sbL11638Yes","This is a mass crossing between many different families of fish. (RS/BT/BP/WH/ST/)","EXTREME HYBRID","EXTHYB","Gasterosteus aculeatus","1","EXTREME HYBRID is currently used in this database.","","","","",""
"No","","sbL11708Yes","Cross between boot and rabbit slough for Alex & Thom's research. Female was returned to tank","BOOT LAKE/RABBIT SLOUGH","BT/RS","","1","BOOT LAKE/RABBIT SLOUGH is currently used in this database.","","","","",""
"No","","sbL11709Yes","","BEAR PAW LAKE/RABBIT SLOUGH","BP/RS","","1","BEAR PAW LAKE/RABBIT SLOUGH is currently used in this database.","","","","",""
"No","","sbL11710Yes","","RABBIT SLOUGH/WHALE LAKE","RS/WH","","1","RABBIT SLOUGH/WHALE LAKE is currently used in this database.","","","","",""
"No","","sbL11711Yes","","SILTCOOS/SUTTON CREEK","SLT/SUCR","","1","SILTCOOS/SUTTON CREEK is currently used in this database.","","","","",""
"No","","sbL11712Yes","","BEAR PAW LAKE/BOOT LAKE","BP/BT","","1","BEAR PAW LAKE/BOOT LAKE is currently used in this database.","","","","",""
"No","","sbL11713Yes","","BOOT LAKE/WHALE LAKE","BT/WH","","1","BOOT LAKE/WHALE LAKE is currently used in this database.","","","","",""
"No","","sbL11714Yes","","BEAR PAW LAKE/WHALE LAKE","BP/WH","","1","BEAR PAW LAKE/WHALE LAKE is currently used in this database.","","","","",""
"No","","sbL11718Yes","","RABBIT SLOUGH/SILTCOOS","RS/SLT","","1","RABBIT SLOUGH/SILTCOOS is currently used in this database.","","","","",""
"No","","sbL11719Yes","","SILTCOOS/WHALE LAKE","SLT/WH","","1","SILTCOOS/WHALE LAKE is currently used in this database.","","","","",""
"No","","sbL11720Yes","","BOOT LAKE/SOUTH SLOUGH","BT/SSL","","1","BOOT LAKE/SOUTH SLOUGH is currently used in this database.","","","","",""
"No","","sbL11725Yes","","[BOOT LAKE/RABBIT SLOUGH]/SOUTH SLOUGH","[BT/RS]/SSL","","1","[BOOT LAKE/RABBIT SLOUGH]/SOUTH SLOUGH is currently used in this database.","","","","",""
"No","","sbL11726Yes","","RABBIT SLOUGH/[SILTCOOS/WHALE LAKE]","RS/[SLT/WH]","","1","RABBIT SLOUGH/[SILTCOOS/WHALE LAKE] is currently used in this database.","","","","",""
"No","","sbL11727Yes","","BOOT LAKE ALPHA ACTIN GFP","BTAAGFP","","1","BOOT LAKE ALPHA ACTIN GFP is currently used in this database.","","","","BOOT LAKE ALPHA ACTIN GFP","BTAAGFP"
"No","","sbL11728Yes","","BOOT LAKE ALPHA ACTIN GFP/RABBIT SLOUGH","BTAAGFP/RS","","1","BOOT LAKE ALPHA ACTIN GFP/RABBIT SLOUGH is currently used in this database.","","","","",""
"No","","sbL11729Yes","","IRRADIATED MALES","IRM","","1","IRRADIATED MALES is not currently used in this database.","","","","Irradiated male","IRM"
"No","","sbL11744Yes","","[BOOT LAKE/RABBIT SLOUGH]/SILTCOOS","[BT/RS]/SLT","","","[BOOT LAKE/RABBIT SLOUGH]/SILTCOOS is currently used in this database.","","","","",""
"No","","sbL11745Yes","","BEAR PAW LAKE/[BOOT LAKE/RABBIT SLOUGH]","BP/[BT/RS]","","","BEAR PAW LAKE/[BOOT LAKE/RABBIT SLOUGH] is currently used in this database.","","","","",""
"No","","sbL11746Yes","","[BEAR PAW LAKE/RABBIT SLOUGH]/BOOT LAKE","[BP/RS]/BT","","","[BEAR PAW LAKE/RABBIT SLOUGH]/BOOT LAKE is currently used in this database.","","","","",""
"No","","sbL11747Yes","","BEAR PAW LAKE/[RABBIT SLOUGH/WHALE LAKE]","BP/[RS/WH]","","","BEAR PAW LAKE/[RABBIT SLOUGH/WHALE LAKE] is currently used in this database.","","","","",""
"No","","sbL11748Yes","","BEAR PAW LAKE/[BEAR PAW LAKE/RABBIT SLOUGH]","BP/[BP/RS]","Gasterosteus aculeatus","","BEAR PAW LAKE/[BEAR PAW LAKE/RABBIT SLOUGH] is currently used in this database.","","","","",""
"No","","sbL11754Yes","","BEAR PAW LAKE/[SILTCOOS/WHALE LAKE]","BP/[SLT/WH]","","","BEAR PAW LAKE/[SILTCOOS/WHALE LAKE] is currently used in this database.","","","","",""
"No","","sbL11755Yes","","BOOT LAKE/[RABBIT SLOUGH/WHALE LAKE]","BT/[RS/WH]","","","BOOT LAKE/[RABBIT SLOUGH/WHALE LAKE] is currently used in this database.","","","","",""
"No","","sbL11756Yes","","BOOT LAKE/[BOOT LAKE/RABBIT SLOUGH]","BT/[BT/RS]","","","BOOT LAKE/[BOOT LAKE/RABBIT SLOUGH] is currently used in this database.","","","","",""
"No","","sbL11757Yes","","BOOT LAKE/[RABBIT SLOUGH/SILTCOOS]","BT/[RS/SLT]","","","BOOT LAKE/[RABBIT SLOUGH/SILTCOOS] is currently used in this database.","","","","",""
"No","","sbL11758Yes","","BEAR PAW LAKE/SILTCOOS","BP/SLT","","","BEAR PAW LAKE/SILTCOOS is currently used in this database.","","","","",""
"No","","sbL11759Yes","","BEAR PAW LAKE/[RABBIT SLOUGH/SILTCOOS]","BP/[RS/SLT]","","","BEAR PAW LAKE/[RABBIT SLOUGH/SILTCOOS] is currently used in this database.","","","","",""
"No","","sbL11760Yes","","[BOOT LAKE/RABBIT SLOUGH]/[RABBIT SLOUGH/WHALE LAKE]","[BT/RS]/[RS/WH]","","","[BOOT LAKE/RABBIT SLOUGH]/[RABBIT SLOUGH/WHALE LAKE] is currently used in this database.","","","","",""
"No","","sbL11761Yes","","[BEAR PAW LAKE/RABBIT SLOUGH]/[BOOT LAKE/RABBIT SLOUGH]","[BP/RS]/[BT/RS]","","","[BEAR PAW LAKE/RABBIT SLOUGH]/[BOOT LAKE/RABBIT SLOUGH] is currently used in this database.","","","","",""
"No","","sbL11762Yes","","BOOT LAKE/[SILTCOOS/WHALE LAKE]","BT/[SLT/WH]","","","BOOT LAKE/[SILTCOOS/WHALE LAKE] is currently used in this database.","","","","",""
"No","","sbL11763Yes","","[BEAR PAW LAKE/RABBIT SLOUGH]/RABBIT SLOUGH","[BP/RS]/RS","","","[BEAR PAW LAKE/RABBIT SLOUGH]/RABBIT SLOUGH is currently used in this database.","","","","",""
